availability_id,has_availability,availability_30,availability_60,availability_90,availability_365
0,t,30,60,90,365
1,t,8,38,68,68
2,t,0,0,0,0
3,t,15,16,16,45
4,t,1,13,28,288
5,t,13,23,48,48
6,t,0,0,0,0
7,t,0,0,0,0
8,t,3,33,63,332
9,t,18,48,78,337
10,t,0,0,0,0
11,t,0,0,0,0
12,f,0,0,0,0
13,t,0,0,0,0
14,t,0,0,0,75
15,t,1,1,1,1
16,t,19,49,79,169
17,t,13,33,55,73
18,t,6,21,42,293
19,t,0,5,35,310
20,t,15,41,71,161
21,t,0,0,0,249
22,t,7,32,32,32
23,t,0,0,28,293
24,f,0,0,0,0
25,t,1,1,1,1
26,f,0,0,0,0
27,f,0,0,0,0
28,t,0,0,3,93
29,t,25,55,85,265
30,t,0,0,1,276
31,f,0,0,0,0
32,t,6,36,66,341
33,t,3,12,12,12
34,t,0,0,0,191
35,t,2,5,7,172
36,t,15,40,70,344
37,t,0,0,0,0
38,t,0,0,0,267
39,t,0,0,0,65
40,f,0,0,0,0
41,t,3,5,18,93
42,t,0,0,0,0
43,t,0,0,0,0
44,t,0,5,35,310
45,t,4,4,4,22
46,t,4,25,55,330
47,f,0,0,0,0
48,f,0,0,0,0
49,t,0,1,1,1
50,t,17,47,77,257
51,t,12,38,68,343
52,t,13,43,73,348
53,t,0,0,0,0
54,t,14,44,74,349
55,f,0,0,0,0
56,t,0,0,0,0
57,t,0,0,0,219
58,t,0,0,0,0
59,t,7,7,32,58
60,t,0,0,0,78
61,t,0,0,0,0
62,f,0,0,0,0
63,t,0,0,0,0
64,t,0,0,0,0
65,t,0,18,35,294
66,t,5,21,51,51
67,f,0,0,0,0
68,t,2,15,40,315
69,t,16,46,76,351
70,t,0,0,0,0
71,t,0,0,0,0
72,t,13,34,58,323
73,t,0,0,0,0
74,t,23,53,83,173
75,t,7,37,67,342
76,f,0,0,0,0
77,t,0,0,0,0
78,t,0,0,12,16
79,t,21,51,81,356
80,t,2,17,47,129
81,t,2,2,2,251
82,f,0,0,0,0
83,t,6,20,50,52
84,f,0,0,0,0
85,t,4,34,64,153
86,t,0,0,0,0
87,t,12,42,72,72
88,t,15,31,55,118
89,t,14,44,74,349
90,t,1,5,20,88
91,t,4,11,33,272
92,t,2,2,5,40
93,t,0,0,16,287
94,t,0,0,0,0
95,t,6,21,44,307
96,t,3,6,11,74
97,t,1,1,16,16
98,f,0,0,0,0
99,t,0,3,14,95
100,t,2,3,3,193
101,t,11,37,64,339
102,t,13,43,73,73
103,t,0,0,0,0
104,t,0,0,0,218
105,f,0,0,0,0
106,t,0,0,0,0
107,t,0,0,0,0
108,t,10,40,70,345
109,t,29,59,89,173
110,t,1,7,7,7
111,t,28,55,85,85
112,t,0,0,0,258
113,t,16,45,75,338
114,t,0,0,0,0
115,t,2,7,37,312
116,t,21,46,75,333
117,t,0,0,0,2
118,t,30,60,90,365
119,t,0,0,0,0
120,t,0,22,52,327
121,t,0,0,30,30
122,t,0,0,0,0
123,t,1,4,15,15
124,f,0,0,0,0
125,f,0,0,0,0
126,t,4,27,57,85
127,t,30,60,90,90
128,t,0,0,0,0
129,t,0,26,51,51
130,t,7,9,39,314
131,t,12,34,64,339
132,t,29,59,89,89
133,t,0,0,10,285
134,t,0,0,0,38
135,t,18,48,78,168
136,t,0,0,0,0
137,t,0,0,0,64
138,t,30,60,90,365
139,t,2,2,2,251
140,t,5,12,25,95
141,t,0,0,0,0
142,t,0,0,0,0
143,t,0,0,0,0
144,t,4,25,36,36
145,t,0,0,0,0
146,t,12,30,55,132
147,t,3,33,63,153
148,t,0,0,0,0
149,t,0,0,6,96
150,t,0,0,0,158
151,t,0,0,30,305
152,t,0,0,5,63
153,t,29,59,89,364
154,t,0,0,0,0
155,f,0,0,0,0
156,t,0,0,0,218
157,t,0,0,0,0
158,t,0,0,2,99
159,t,0,0,0,0
160,t,0,0,0,0
161,t,29,59,89,179
162,t,0,0,0,0
163,t,25,45,68,68
164,t,26,56,86,355
165,f,0,0,0,0
166,f,0,0,0,0
167,t,6,24,46,118
168,f,0,0,0,0
169,t,20,50,80,80
170,t,19,49,79,169
171,t,0,0,0,0
172,t,9,30,58,333
173,t,21,51,81,356
174,t,0,0,0,0
175,t,4,22,41,298
176,t,0,0,0,249
177,t,2,32,62,332
178,f,0,0,0,0
179,t,0,0,0,42
180,t,0,0,0,249
181,t,30,60,90,365
182,t,19,31,59,319
183,t,6,18,48,138
184,t,0,0,2,70
185,t,0,0,0,0
186,t,11,34,64,244
187,f,0,0,0,0
188,t,3,3,11,263
189,f,0,0,0,0
190,t,0,25,55,330
191,t,4,34,64,339
192,f,0,0,0,0
193,f,0,0,0,0
194,t,16,43,67,103
195,t,3,3,3,3
196,t,9,28,55,55
197,t,1,8,38,38
198,t,6,36,66,341
199,f,0,0,0,0
200,t,0,0,0,0
201,t,15,43,72,347
202,t,0,0,0,0
203,t,4,26,51,121
204,t,13,43,73,104
205,t,0,0,0,198
206,t,0,0,0,0
207,t,0,2,6,91
208,t,6,33,63,338
209,t,0,22,52,327
210,t,0,0,4,162
211,t,0,0,0,0
212,t,0,0,5,5
213,t,0,0,0,130
214,t,0,3,23,42
215,t,19,49,79,110
216,t,0,0,0,0
217,t,23,53,83,316
218,t,29,59,89,179
219,t,0,22,45,291
220,t,3,3,9,284
221,t,0,0,0,262
222,t,14,44,74,349
223,t,28,58,88,363
224,t,0,0,0,7
225,t,6,17,44,44
226,t,0,0,0,0
227,f,0,0,0,0
228,t,0,16,46,316
229,t,0,0,0,0
230,t,0,0,9,81
231,f,0,0,0,0
232,t,0,0,0,23
233,t,0,0,0,0
234,f,0,0,0,0
235,t,0,0,0,0
236,t,7,13,32,300
237,f,0,0,0,0
238,f,0,0,0,0
239,t,30,60,90,147
240,t,0,0,0,0
241,t,0,0,5,280
242,t,0,0,0,0
243,t,0,0,14,182
244,t,17,47,77,352
245,t,0,14,38,313
246,t,0,0,9,83
247,t,4,7,28,28
248,t,21,46,76,340
249,t,28,58,88,363
250,t,0,0,0,0
251,t,2,26,39,281
252,t,0,0,0,0
253,t,0,0,0,0
254,t,2,4,20,84
255,t,24,54,84,359
256,f,0,0,0,0
257,t,0,0,0,249
258,f,0,0,0,0
259,t,0,0,0,0
260,t,0,0,0,0
261,t,10,14,25,100
262,t,0,0,0,0
263,f,0,0,0,0
264,t,30,60,90,365
265,f,0,0,0,0
266,t,10,19,25,30
267,t,24,54,84,174
268,t,5,10,24,24
269,t,0,1,1,44
270,t,0,9,20,238
271,t,15,40,45,320
272,f,0,0,0,0
273,t,0,0,0,0
274,t,16,46,76,256
275,t,27,27,27,27
276,t,0,0,0,0
277,t,0,0,0,2
278,t,1,16,40,119
279,f,0,0,0,0
280,t,8,24,54,54
281,t,6,20,34,283
