case_num,latitude,longitude,zipcodes
251844774,40.763334,-73.977913,10019
251438725,40.703546,-73.799675,11432
246251331,40.84770027,-73.90096016,10457
242300645,40.58594334,-73.81610192,11693
240442660,40.776601,-73.980925,10023
239555361,40.66918673,-73.8747805,11208
239557314,40.78756,-73.943129,10029
247500587,40.750423,-73.98928,10001
247419084,40.655336,-73.951513,11226
244167039,40.848794,-73.937229,10033
248755373,40.755216,-73.888622,11372
248674050,40.752003,-73.935872,11101
245616906,40.795005,-73.936137,10029
239214286,40.83758682,-73.86638645,10460
242306413,40.574622,-74.095768,10306
241765834,40.831271,-73.948241,10031
244839917,40.86292582,-73.92776655,10040
251635022,40.653409,-73.92191,11203
239831591,40.676019,-73.948531,11216
248788494,40.777207,-73.956208,10028
249062082,40.713797,-73.993334,10002
240850438,40.813196,-73.958257,10027
244785043,40.845788,-73.942483,10032
249775406,40.849581,-73.934348,10033
245001570,40.734955,-73.874983,11373
245874585,40.676006,-73.904794,11233
242229494,40.5772,-73.990289,11224
249883339,40.81969376,-73.90160159,10455
240321032,40.755061,-73.987669,10018
245888475,40.59742,-73.938412,11229
251734528,40.816035,-73.916225,10455
245846504,40.800326,-73.945655,10029
250050799,40.885442,-73.863462,10467
239202181,40.802972,-73.96572,10025
239401453,40.701008,-73.984794,11201
243701322,40.828743,-73.938371,10039
251297615,40.840177,-73.937639,10032
249005675,40.793208,-73.967273,10025
242731689,40.773393,-73.963207,10021
238902020,40.80093037,-73.94109824,10035
241361008,40.62583755,-73.99094489,11204
245754692,40.606232,-73.942989,11229
240246518,40.644108,-74.013195,11220
245744859,40.68354331,-73.84854108,11416
249417105,40.849118,-73.923363,10453
246845085,40.79607431,-73.96706675,10025
248083146,40.801772,-73.962879,10025
243170705,40.59497,-74.001062,11214
242188077,40.847234,-73.938135,10033
250206968,40.80841775,-73.95247406,10027
239602052,40.809579,-73.924015,10454
247591137,40.678886,-73.891893,11207
241977999,40.797475,-73.938898,10029
244038109,40.65815775,-74.00044115,11232
244764946,40.651723,-73.949171,11226
250087513,40.723773,-73.983679,10009
240957503,40.626274,-73.962547,11230
242418385,40.783495,-73.979156,10024
239686437,40.672483,-73.887451,11207
250821179,40.805411,-73.954645,10026
240237917,40.737552,-74.007347,10014
251575940,40.823278,-73.909167,10451
250873944,40.731992,-73.816234,11367
249512124,40.74266361,-73.99804911,10011
248582543,40.846117,-73.892569,10457
238607882,40.714608,-74.011443,10007
243095624,40.716828,-73.962137,11249
239872376,40.8441566,-73.90060545,10457
238587305,40.645174,-73.979291,11218
251655425,40.83784212,-73.91962775,10452
250171059,40.748371,-74.001817,10001
245764896,40.831883,-73.91184,10456
246409225,40.756908,-73.827941,11355
244175140,40.709026,-73.846487,11375
238827050,40.69932416,-73.83157089,11418
243993878,40.873944,-73.908788,10463
244033278,40.841214,-73.848474,10461
245884373,40.59198,-73.800066,11692
242076236,40.82291231,-73.8700413,10473
245846786,40.627145,-74.007485,11219
243094074,40.63126,-73.934992,11210
244335336,40.752102,-73.872425,11372
249211887,40.76502408,-73.98483595,10019
246251859,40.684463,-73.939786,11221
240424930,40.69847382,-73.91776898,11237
239719978,40.696734,-73.798014,11433
250841616,40.725936,-73.985061,10009
245265587,40.798941,-73.939286,10035
241201783,40.741847,-73.916111,11377
241808134,40.751856,-73.993706,10001
249212270,40.675719,-73.921496,11233
241970203,40.671245,-73.926713,11213
