case_num,crime_type
251844774,PETIT LARCENY
251438725,HARRASSMENT 2
246251331,DANGEROUS WEAPONS
242300645,CRIMINAL MISCHIEF & RELATED OF
240442660,HARRASSMENT 2
239555361,PETIT LARCENY
239557314,HARRASSMENT 2
247500587,PETIT LARCENY
247419084,HARRASSMENT 2
244167039,PETIT LARCENY
248755373,GRAND LARCENY
248674050,HARRASSMENT 2
245616906,CRIMINAL MISCHIEF & RELATED OF
239214286,CRIMINAL MISCHIEF & RELATED OF
242306413,HARRASSMENT 2
241765834,CRIMINAL MISCHIEF & RELATED OF
244839917,DANGEROUS DRUGS
251635022,CRIMINAL MISCHIEF & RELATED OF
239831591,PETIT LARCENY
248788494,BURGLARY
249062082,GRAND LARCENY
240850438,HARRASSMENT 2
244785043,CRIMINAL MISCHIEF & RELATED OF
249775406,PETIT LARCENY
245001570,ROBBERY
245874585,PETIT LARCENY
242229494,ASSAULT 3 & RELATED OFFENSES
249883339,OFF. AGNST PUB ORD SENSBLTY &
240321032,ASSAULT 3 & RELATED OFFENSES
245888475,ROBBERY
251734528,HARRASSMENT 2
245846504,CRIMINAL MISCHIEF & RELATED OF
250050799,HARRASSMENT 2
239202181,ASSAULT 3 & RELATED OFFENSES
239401453,ASSAULT 3 & RELATED OFFENSES
243701322,HARRASSMENT 2
251297615,BURGLARY
249005675,PETIT LARCENY
242731689,GRAND LARCENY OF MOTOR VEHICLE
238902020,FELONY ASSAULT
241361008,SEX CRIMES
245754692,BURGLARY
240246518,GRAND LARCENY
245744859,HARRASSMENT 2
249417105,HARRASSMENT 2
246845085,FELONY ASSAULT
248083146,DANGEROUS DRUGS
243170705,PETIT LARCENY
242188077,PETIT LARCENY
250206968,FELONY ASSAULT
239602052,ROBBERY
247591137,HARRASSMENT 2
241977999,ASSAULT 3 & RELATED OFFENSES
244038109,VEHICLE AND TRAFFIC LAWS
244764946,BURGLARY
250087513,GRAND LARCENY
240957503,CRIMINAL MISCHIEF & RELATED OF
242418385,GRAND LARCENY
239686437,HARRASSMENT 2
250821179,PETIT LARCENY
240237917,GRAND LARCENY
251575940,ASSAULT 3 & RELATED OFFENSES
250873944,HARRASSMENT 2
249512124,FELONY ASSAULT
248582543,PETIT LARCENY
238607882,PETIT LARCENY
243095624,GRAND LARCENY
239872376,SEX CRIMES
238587305,PETIT LARCENY
251655425,FELONY ASSAULT
250171059,ROBBERY
245764896,PETIT LARCENY
246409225,INTOXICATED & IMPAIRED DRIVING
244175140,GRAND LARCENY
238827050,FELONY ASSAULT
243993878,PETIT LARCENY
244033278,OFF. AGNST PUB ORD SENSBLTY &
