host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
0,David,2021/7/17,"New York, United States",REAL ESTATE BROKER,within an hour,1.00 ,0.92 ,f,Rego Park,3,5,"['email', 'phone']",t,t
1,Albert,2014/9/8,"New York, NY",I鈥檓 a theatre and film director.  Love meeting people from different part of our planet ,within an hour,0.92 ,0.91 ,f,Bedford-Stuyvesant,4,6,"['email', 'phone']",t,t
2,Angeline,2013/9/29,"New York, NY",,,0.63 ,0.83 ,f,Prospect Heights,1,1,"['email', 'phone']",t,t
3,Hotel Hendricks,2019/5/21,"New York, NY","Soaring 27 stories over Midtown Manhattan, Hotel Hendricks is a stylish newcomer located just steps from Herald Square, Bryant Park, and Fifth Avenue shopping. Set to open in Summer of 2019, the hotel pairs exceptional service with industrial-chic design features by noted designer Marchello Pozzi.

24-hour virtual concierge
Paloma restaurant
Two rooftop bars
24-hour in-room dining
24-hour Fitness Center
Venues for private events
Pet-friendly",within an hour,1.00 ,0.86 ,f,Midtown,6,6,"['email', 'phone']",t,t
4,Kyle,2018/3/10,"New York, NY","I am working in Marketing development and placement product, I love traveling and art, cooking and socialize with my guest, I been everywhere in the world and my best travel from far it is South Africa, my best cities of course New York but I like also Paris and Barcelona, I like to escape the city and I go most of the time in the Hamptons and when I have more time, I fly to Costa Rica, I love the nature and the beach. ",within an hour,0.88 ,1.00 ,f,Soho,1,2,"['email', 'phone']",t,f
5,Ramirez,2022/8/6,,,within an hour,1.00 ,0.83 ,f,,1,1,"['email', 'phone']",t,t
6,Hillela,2011/12/5,"New York, United States","Born and raised in Seattle, went to undergrad in Western Mass, and now
live in NYC. I love cooking, discovering, thinking about, and eating food, at home and when traveling. ",,0.99 ,0.43 ,f,Boerum Hill,1,1,"['email', 'phone', 'work_email']",t,t
7,Sandra,2011/9/25,"New York, NY",,,0.59 ,0.23 ,f,Upper East Side,1,2,"['email', 'phone']",t,t
8,Ken,2014/10/14,"New York, NY","I work for Furnished Quarters, the largest provider of furnished apartments in the Northeast. My family started this business over 20 years ago and we welcome the opportunity to host you in our apartments. 

Guests can expect a comfortable, fully furnished and equipped private apartment, plenty of helpful neighborhood information and 24-hour access to our team. We consider ourselves first and foremost a hospitality company and we are here to provide a worry-free stay that enables you to enjoy the city and feel like a local from the moment you arrive.  ",within a few hours,0.94 ,1.00 ,f,Upper East Side,222,954,"['email', 'phone', 'work_email']",t,t
9,Donna,2019/5/26,,"What can I say about myself?  I鈥檓 easy going, patient, and can adapt to most personality types. 
I have worked with Special Education students for more than 20 years so it has always been necessary for me to learn about different cultures. 
I have traveled to different parts of the world and look forward to meeting new people. 
As a former marathoner and personal trainer, health and fitness has always been a big part of my life. 
I believe that a single smile can be the universal language that changes the dynamics of a persons鈥?day. 
Safety, cleanliness, respect and honesty are always at the top of my list. ",within an hour,1.00 ,1.00 ,f,East New York,3,3,"['email', 'phone']",t,t
10,Christian,2015/6/15,"New York, NY",,,0.77 ,0.91 ,f,Financial District,1,1,"['email', 'phone']",t,t
11,Owen,2011/5/2,"New York, NY","Hi,
My name is Owen and I work in the fashion industry as a freelance editorial hairstylist. I am based in Williamsburg Brooklyn. I love to travel and am lucky my work allows me that freedom.",,0.17 ,0.54 ,f,Midtown,1,1,"['email', 'phone']",t,t
12,Denis,2014/6/25,,,,0.33 ,0.51 ,f,Flushing,1,3,"['email', 'phone']",t,f
