id,neighbourhood_cleansed,neighbourhood_group
0,Forest Hills,Queens
1,Bedford-Stuyvesant,Brooklyn
2,Prospect Heights,Brooklyn
3,Hell's Kitchen,Manhattan
4,SoHo,Manhattan
5,Chinatown,Manhattan
6,Gowanus,Brooklyn
7,Upper East Side,Manhattan
8,Greenwich Village,Manhattan
9,Cypress Hills,Brooklyn
10,Financial District,Manhattan
11,Williamsburg,Brooklyn
12,Forest Hills,Queens
13,Jackson Heights,Queens
14,Sunnyside,Queens
15,Harlem,Manhattan
16,Lower East Side,Manhattan
17,Financial District,Manhattan
18,Williamsburg,Brooklyn
19,Midtown,Manhattan
20,Flushing,Queens
21,Bushwick,Brooklyn
22,Harlem,Manhattan
23,East Village,Manhattan
24,East Harlem,Manhattan
25,Crown Heights,Brooklyn
26,Clinton Hill,Brooklyn
27,Greenpoint,Brooklyn
28,Clinton Hill,Brooklyn
29,Kew Gardens,Queens
30,Bedford-Stuyvesant,Brooklyn
31,Chelsea,Manhattan
32,Crown Heights,Brooklyn
33,Harlem,Manhattan
34,Prospect-Lefferts Gardens,Brooklyn
35,Midtown,Manhattan
36,Sunset Park,Brooklyn
37,Bedford-Stuyvesant,Brooklyn
38,Inwood,Manhattan
39,Hell's Kitchen,Manhattan
40,Greenwich Village,Manhattan
41,Upper West Side,Manhattan
42,Bay Ridge,Brooklyn
43,Midtown,Manhattan
44,Midtown,Manhattan
45,Harlem,Manhattan
46,Bushwick,Brooklyn
47,Upper West Side,Manhattan
48,Ridgewood,Queens
49,Bushwick,Brooklyn
50,East Elmhurst,Queens
51,Kew Gardens Hills,Queens
52,College Point,Queens
53,Chelsea,Manhattan
54,Kew Gardens Hills,Queens
55,Maspeth,Queens
56,Washington Heights,Manhattan
57,Murray Hill,Manhattan
58,Hell's Kitchen,Manhattan
59,Jackson Heights,Queens
60,Upper West Side,Manhattan
61,Greenpoint,Brooklyn
62,Upper West Side,Manhattan
63,Upper West Side,Manhattan
64,Bedford-Stuyvesant,Brooklyn
65,Van Cortlandt Park,Bronx
66,Flatbush,Brooklyn
67,Astoria,Queens
68,Gowanus,Brooklyn
69,Midtown,Manhattan
70,Inwood,Manhattan
71,Bedford-Stuyvesant,Brooklyn
72,Cypress Hills,Brooklyn
73,Prospect-Lefferts Gardens,Brooklyn
74,Richmond Hill,Queens
75,Upper West Side,Manhattan
76,Bedford-Stuyvesant,Brooklyn
77,Williamsburg,Brooklyn
78,Chelsea,Manhattan
79,Morris Park,Bronx
80,Morningside Heights,Manhattan
81,Fort Greene,Brooklyn
82,Kips Bay,Manhattan
83,Harlem,Manhattan
84,Upper West Side,Manhattan
85,Upper East Side,Manhattan
86,Manhattan,Manhattan
87,Harlem,Manhattan
88,Lower East Side,Manhattan
89,Briarwood,Queens
90,Bedford-Stuyvesant,Brooklyn
91,East Village,Manhattan
92,Murray Hill,Manhattan
93,Flatbush,Brooklyn
94,Fort Greene,Brooklyn
95,Bedford-Stuyvesant,Brooklyn
96,Civic Center,Manhattan
97,Flatbush,Brooklyn
98,Sunset Park,Brooklyn
99,Battery Park City,Manhattan
100,Harlem,Manhattan
101,Inwood,Manhattan
102,East New York,Brooklyn
103,Prospect-Lefferts Gardens,Brooklyn
104,Jackson Heights,Queens
105,Upper East Side,Manhattan
106,Hell's Kitchen,Manhattan
