nights_id,minimum_nights,maximum_nights
0,30 ,365 
1,30 ,1125 
2,30 ,1125 
3,1 ,28 
4,2 ,1125 
5,2 ,60 
6,30 ,1125 
7,30 ,1125 
8,30 ,1125 
9,5 ,1125 
10,14 ,1125 
11,3 ,1125 
12,31 ,61 
13,30 ,1125 
14,30 ,1125 
15,5 ,365 
16,2 ,28 
17,1 ,1125 
18,2 ,7 
19,31 ,1125 
20,1 ,1125 
21,30 ,1125 
22,3 ,1125 
23,1 ,1125 
24,30 ,1125 
25,2 ,365 
26,30 ,85 
27,1 ,1125 
28,30 ,1125 
29,3 ,1125 
30,15 ,1125 
31,30 ,1125 
32,90 ,1000 
33,3 ,14 
34,90 ,1000 
35,1 ,1125 
36,1 ,1125 
37,4 ,1125 
38,15 ,1125 
39,1 ,365 
40,2 ,1125 
41,2 ,365 
42,30 ,1125 
43,30 ,1125 
44,30 ,365 
45,7 ,1125 
46,30 ,365 
47,150 ,150 
48,30 ,1125 
49,2 ,10 
50,1 ,1125 
51,1 ,1125 
52,2 ,1125 
53,1 ,1125 
54,4 ,1125 
55,30 ,1125 
56,30 ,1125 
57,1 ,365 
58,30 ,1125 
59,30 ,1125 
60,4 ,15 
61,7 ,1125 
62,30 ,1125 
63,30 ,30 
64,30 ,1125 
65,2 ,1125 
66,2 ,1124 
67,30 ,1125 
68,2 ,365 
69,11 ,365 
70,30 ,1125 
71,30 ,1125 
72,2 ,120 
73,1 ,1125 
74,30 ,60 
75,30 ,1125 
76,30 ,1125 
77,30 ,30 
78,3 ,1125 
79,2 ,1125 
80,1 ,1125 
81,30 ,60 
82,1 ,1125 
83,1 ,25 
84,30 ,32 
85,30 ,365 
86,30 ,30 
87,2 ,90 
88,1 ,28 
89,30 ,1125 
90,3 ,30 
91,4 ,1125 
92,30 ,1125 
93,30 ,365 
94,30 ,30 
95,2 ,30 
96,3 ,21 
97,30 ,1125 
98,30 ,40 
99,6 ,1125 
100,1 ,1125 
101,1 ,365 
102,3 ,25 
103,30 ,1125 
104,180 ,360 
105,30 ,1125 
106,7 ,1125 
107,30 ,1125 
108,29 ,1125 
109,1 ,365 
110,1 ,1125 
111,2 ,1125 
112,30 ,1125 
113,1 ,365 
114,7 ,15 
115,1 ,1125 
116,1 ,345 
117,28 ,120 
118,30 ,1125 
119,30 ,1125 
120,4 ,1125 
121,3 ,1125 
122,30 ,1125 
123,3 ,50 
124,30 ,1125 
125,30 ,1125 
126,1 ,28 
127,3 ,1125 
128,30 ,1125 
129,30 ,1125 
