id,name,neighbourhood,building,street,zipcode,phone
0,P.J. CHARLTON,MANHATTAN,549,GREENWICH STREET,10013,2129249532
1,INCREDIBOWL,QUEENS,13335,ROOSEVELT AVE,11354,9173652023
2,KENNEDY FRIED CHICKEN,QUEENS,10220,37TH AVE,11368,7185051057
3,O'HANLON'S PUB,QUEENS,2257,31 STREET,11105,7187289619
4,PEACHWAVE FROZEN YOGURT,BRONX,602,E 187TH ST,10458,3472705883
5,MARTHAS COUNTRY BAKERY,QUEENS,3621,DITMARS BOULEVARD,11105,7185459737
6,NIPPORI JAPANESE RESTAURANT,MANHATTAN,245,W 51ST,10019,6469645332
7,A-1 PIZZA SHOP,MANHATTAN,505,GRAND STREET,10002,2125330214
8,SUBWAY,QUEENS,5916,KISSENA BLVD,11355,7188860193
9,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,MANHATTAN,,W 79 STREET,10024,2127695370
10,WHITE CASTLE,BROOKLYN,1205,BOARDWALK WEST,11224,7189747666
11,THE BURGER GURU,BROOKLYN,98,BERRY STREET,11249,7185994878
12,CASA ENRIQUE,QUEENS,548,49 AVENUE,11101,3474486040
13,POLLO D' ORO,BROOKLYN,306,GOLD ST,11201,7188558088
14,LE NAR,BROOKLYN,7214,3RD AVE,11209,3475757018
15,LATIN FUSION,BRONX,789,ALLERTON AVE,10467,7186542067
16,SUBWAY,MANHATTAN,1269,1 AVENUE,10065,2126286358
17,SAINT VITUS,BROOKLYN,1120,MANHATTAN AVE,11222,9173310331
18,WINDIES RESTAURANT AND BAR,QUEENS,21606,JAMAICA AVENUE,11428,7187369414
19,MI SUENO RESTAURANT,BRONX,152,WEST FORDHAM ROAD,10468,7183295422
20,LITTLE RASCAL,MANHATTAN,163,ELIZABETH STREET,10012,2129660446
21,PATACON PISAO,MANHATTAN,139,ESSEX ST,10002,9173556180
22,PATRIZIA'S,BROOKLYN,35,BROADWAY,11249,7182189272
23,CARNIVAL PALACE,QUEENS,9209,JAMAICA AVE,11421,7188466888
24,MUSE CAFE,BROOKLYN,497,6TH AVE,11215,7187885800
25,PARRILLA LATINA,BRONX,614,MELROSE AVENUE,10455,7189935834
26,EMERGENCY,BRONX,145,BRUCKNER BLVD,10454,7186969496
27,MI PALENQUE,BRONX,524,BROOK AVENUE,10455,3475910645
28,LA MELLA RESTAURANT,BRONX,1452,WESTCHESTER AVE,10472,7186843010
29,TOTA'S,BROOKLYN,244,UTICA AVENUE,11213,7187735109
30,JACKS ALE HOUSE,QUEENS,3946,SKILLMAN AVENUE,11104,7187849090
31,G & L Cajun Grill,QUEENS,9040,160 STREET,11432,9176052812
32,TACOMBI AT FONDA NOLITA,MANHATTAN,267,ELIZABETH STREET,10012,9177270179
33,FIFTY ON,BROOKLYN,472,49TH ST,11220,3474054288
34,PLAKA ESTIATORIO,QUEENS,7561,31 AVENUE,11370,7185050515
35,TODD ENGLISH FOOD HALL,MANHATTAN,768,5TH AVE,10019,2129869260
36,SPOT DESSERT BAR,MANHATTAN,5,SAINT MARKS PL,10003,2126736745
37,USAGI,MANHATTAN,320,EAST   49 STREET,10017,2129352002
38,LA FONDA DEL SOL,MANHATTAN,200,PARK AVENUE,10166,2128676767
39,HARD ROCK CAFE,MANHATTAN,1501,BROADWAY,10036,2123433355
40,BUDDAKAN,MANHATTAN,75,9 AVENUE,10011,2129896699
41,LENZ'S,MANHATTAN,514,E 20TH ST,10009,2129792859
42,PRABHU KIRPA SWEETS AND RESTAURANT,QUEENS,13403,ROCKAWAY BOULEVARD,11420,7187383030
43,SHANGRI-LA VEGETARIAN,BROOKLYN,7400,3RD AVE,11209,7188360333
44,PRUNE,MANHATTAN,54,EAST    1 STREET,10003,2126776221
45,FORTY EIGHT LOUNGE,MANHATTAN,1221,AVENUE OF THE AMERICAS,10020,2125544848
