review_id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,,,,,,,,,
1,2021/6/25,2022/8/30,4.60 ,5.00 ,4.40 ,4.80 ,5.00 ,4.20 ,4.20 
2,2015/6/15,2015/12/28,4.70 ,4.60 ,4.60 ,4.90 ,4.90 ,4.60 ,4.70 
3,2020/5/3,2022/5/16,4.20 ,4.20 ,4.20 ,5.00 ,4.20 ,5.00 ,4.20 
4,2019/4/8,2022/8/27,4.79 ,4.75 ,4.73 ,4.75 ,4.81 ,5.00 ,4.60 
5,2022/8/14,2022/8/19,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,5.00 
6,2015/4/11,2015/4/25,4.00 ,5.00 ,3.00 ,3.00 ,3.00 ,5.00 ,5.00 
7,2015/7/31,2016/1/31,5.00 ,5.00 ,4.75 ,5.00 ,5.00 ,5.00 ,5.00 
8,,,,,,,,,
9,2022/8/5,2022/8/8,3.00 ,3.00 ,3.00 ,3.00 ,3.50 ,3.00 ,3.00 
10,2015/9/12,2015/9/12,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
11,2015/1/12,2020/2/10,4.95 ,5.00 ,4.95 ,4.95 ,4.87 ,4.81 ,4.81 
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,2022/3/31,2022/8/19,4.75 ,4.75 ,4.50 ,5.00 ,5.00 ,4.75 ,4.50 
16,2021/11/14,2022/9/5,4.96 ,5.00 ,4.93 ,5.00 ,4.93 ,4.93 ,4.68 
17,2020/11/28,2022/8/21,4.81 ,4.81 ,4.74 ,4.86 ,4.83 ,4.89 ,4.77 
18,2019/7/7,2021/8/9,5.00 ,4.92 ,5.00 ,5.00 ,5.00 ,4.92 ,4.92 
19,2021/10/30,2021/10/30,5.00 ,5.00 ,5.00 ,4.00 ,5.00 ,5.00 ,3.00 
20,2021/8/15,2022/9/4,4.68 ,4.81 ,4.67 ,4.76 ,4.78 ,4.85 ,4.75 
21,,,,,,,,,
22,2021/10/29,2022/3/30,4.96 ,4.75 ,5.00 ,4.83 ,4.79 ,4.71 ,4.71 
23,2015/6/12,2022/8/25,4.89 ,4.92 ,4.90 ,4.91 ,4.97 ,4.97 ,4.80 
24,,,,,,,,,
25,2021/10/17,2022/8/28,4.91 ,5.00 ,4.87 ,4.87 ,4.96 ,4.61 ,4.87 
26,,,,,,,,,
27,2019/6/23,2020/2/8,4.75 ,4.50 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
28,2021/5/22,2022/8/31,4.88 ,4.96 ,4.96 ,4.92 ,4.79 ,4.88 ,4.71 
29,2019/10/29,2022/8/12,4.83 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.67 
